iter	Passed	Remaining
400	20065	230126
401	20111	230032
402	20155	229917
403	20203	229835
404	20249	229741
405	20295	229648
406	20339	229531
407	20382	229405
408	20427	229295
409	20508	229596
410	20551	229463
411	20594	229340
412	20642	229262
413	20692	229219
414	20743	229174
415	20794	229144
416	20841	229057
417	20885	228945
418	20931	228853
419	20976	228738
420	21023	228662
421	21067	228546
422	21114	228460
423	21158	228351
424	21204	228259
425	21251	228178
426	21296	228076
427	21342	227986
428	21389	227902
429	21437	227835
430	21483	227744
431	21529	227654
432	21574	227555
433	21618	227442
434	21664	227353
435	21709	227254
436	21754	227156
437	21799	227048
438	21844	226953
439	21893	226898
440	21943	226850
441	21989	226763
442	22033	226648
443	22076	226536
444	22120	226425
445	22167	226347
446	22214	226273
447	22261	226194
448	22305	226083
449	22351	225995
450	22395	225887
451	22437	225766
452	22482	225665
453	22531	225616
454	22579	225549
455	22625	225457
456	22674	225400
457	22720	225319
458	22769	225260
459	22815	225180
460	22862	225105
461	22909	225029
462	22958	224968
463	23006	224906
464	23055	224852
465	23101	224766
466	23146	224678
467	23190	224568
468	23236	224484
469	23282	224399
470	23325	224289
471	23375	224243
472	23423	224181
473	23469	224101
474	23514	224010
475	23559	223914
476	23610	223880
477	23661	223839
478	23710	223785
479	23758	223729
480	23808	223682
481	23857	223629
482	23900	223517
483	23946	223430
484	23991	223340
485	24039	223278
486	24086	223208
487	24134	223149
488	24184	223097
489	24234	223057
490	24281	222979
491	24329	222917
492	24374	222833
493	24420	222746
494	24464	222653
495	24509	222564
496	24554	222476
497	24600	222389
498	24643	222282
499	24689	222205
500	24735	222124
501	24781	222045
502	24825	221949
503	24872	221874
504	24915	221768
505	24958	221664
506	25005	221598
507	25050	221507
508	25094	221413
509	25139	221324
510	25184	221237
511	25229	221152
512	25280	221116
513	25326	221042
514	25373	220966
515	25418	220888
516	25463	220797
517	25508	220714
518	25552	220619
519	25596	220522
520	25641	220436
521	25686	220348
522	25730	220257
523	25775	220175
524	25822	220103
525	25867	220024
526	25914	219957
527	25963	219903
528	26009	219823
529	26056	219756
530	26103	219692
531	26148	219611
532	26192	219512
533	26239	219450
534	26287	219389
535	26331	219295
536	26381	219257
537	26426	219172
538	26473	219109
539	26518	219024
540	26561	218923
541	26608	218858
542	26656	218801
543	26699	218703
544	26743	218613
545	26787	218521
546	26832	218433
547	26876	218343
548	26921	218262
549	26965	218176
550	27012	218111
551	27060	218055
552	27107	217988
553	27156	217939
554	27204	217882
555	27253	217831
556	27302	217781
557	27350	217725
558	27398	217669
559	27449	217636
560	27496	217567
561	27545	217519
562	27590	217443
563	27635	217358
564	27679	217272
565	27722	217172
566	27768	217105
567	27813	217020
568	27856	216932
569	27901	216852
570	27948	216782
571	27991	216692
572	28036	216607
573	28083	216547
574	28128	216463
575	28171	216376
576	28216	216297
577	28260	216210
578	28305	216131
579	28351	216061
580	28400	216009
581	28451	215977
582	28496	215902
583	28542	215831
584	28589	215762
585	28636	215705
586	28682	215631
587	28730	215573
588	28772	215478
589	28817	215396
590	28861	215316
591	28906	215233
592	28951	215156
593	28998	215098
594	29046	215045
595	29095	214996
596	29144	214945
597	29191	214887
598	29234	214791
599	29279	214718
600	29322	214622
601	29368	214556
602	29417	214505
603	29462	214432
604	29507	214358
605	29555	214298
606	29601	214231
607	29647	214162
608	29692	214086
609	29738	214019
610	29786	213964
611	29833	213907
612	29876	213816
613	29921	213737
614	29965	213656
615	30009	213573
616	30055	213502
617	30099	213422
618	30145	213355
619	30192	213292
620	30236	213210
621	30280	213133
622	30324	213050
623	30369	212977
624	30412	212890
625	30456	212805
626	30500	212725
627	30543	212637
628	30590	212574
629	30635	212503
630	30678	212418
631	30724	212349
632	30767	212264
633	30814	212204
634	30863	212155
635	30911	212106
636	30963	212078
637	31015	212053
638	31066	212020
639	31115	211975
640	31164	211927
641	31215	211896
642	31264	211852
643	31310	211783
644	31355	211707
645	31400	211640
646	31452	211609
647	31499	211551
648	31541	211461
649	31586	211389
650	31632	211320
651	31677	211244
652	31723	211183
653	31767	211106
654	31813	211040
655	31859	210970
656	31905	210909
657	31950	210836
658	31997	210776
659	32047	210739
660	32095	210685
661	32141	210619
662	32184	210536
663	32229	210462
664	32273	210384
665	32314	210288
666	32359	210218
667	32408	210169
668	32454	210103
669	32496	210016
670	32544	209965
671	32592	209913
672	32640	209860
673	32686	209795
674	32731	209725
675	32777	209659
676	32823	209594
677	32872	209549
678	32921	209505
679	32967	209440
680	33010	209358
681	33053	209275
682	33097	209198
683	33191	209437
684	33236	209364
685	33278	209276
686	33322	209200
687	33366	209122
688	33410	209043
689	33452	208958
690	33499	208898
691	33543	208823
692	33586	208740
693	33631	208669
694	33676	208600
695	33721	208532
696	33765	208456
697	33811	208392
698	33857	208329
699	33903	208263
700	33946	208184
701	33990	208106
702	34035	208036
703	34080	207966
704	34126	207903
705	34174	207857
706	34221	207798
707	34269	207746
708	34318	207702
709	34363	207634
710	34408	207564
711	34455	207506
712	34499	207433
713	34544	207366
714	34590	207302
715	34639	207257
716	34682	207176
717	34727	207109
718	34772	207039
719	34815	206961
720	34863	206910
721	34909	206847
722	34954	206777
723	34998	206702
724	35041	206622
725	35085	206549
726	35132	206494
727	35177	206427
728	35223	206365
729	35268	206298
730	35313	206229
731	35356	206146
732	35404	206096
733	35451	206041
734	35498	205986
735	35543	205918
736	35586	205841
737	35635	205795
738	35687	205773
739	35740	205746
740	35786	205687
741	35833	205633
742	35883	205594
743	35929	205533
744	35978	205485
745	36026	205440
746	36074	205388
747	36122	205337
748	36169	205284
749	36215	205222
750	36260	205156
751	36307	205100
752	36353	205040
753	36404	205005
754	36450	204944
755	36498	204894
756	36550	204864
757	36600	204825
758	36646	204764
759	36693	204708
760	36739	204652
761	36785	204587
762	36830	204522
763	36877	204466
764	36925	204417
765	36969	204346
766	37014	204277
767	37056	204196
768	37101	204129
769	37148	204077
770	37197	204031
771	37242	203965
772	37287	203897
773	37334	203844
774	37383	203800
775	37429	203738
776	37477	203692
777	37522	203626
778	37568	203566
779	37612	203491
780	37659	203436
781	37705	203378
782	37750	203314
783	37797	203260
784	37844	203202
785	37889	203138
786	37936	203081
787	37979	203006
788	38023	202935
789	38065	202854
790	38108	202778
791	38152	202711
792	38202	202669
793	38245	202595
794	38292	202540
795	38338	202483
796	38383	202414
797	38427	202346
798	38474	202290
799	38526	202265
800	38574	202212
801	38626	202189
802	38676	202149
803	38720	202076
804	38766	202017
805	38811	201956
806	38855	201883
807	38899	201816
808	38942	201742
809	38988	201681
810	39034	201623
811	39081	201570
812	39127	201509
813	39173	201447
814	39216	201373
815	39263	201324
816	39309	201262
817	39356	201209
818	39403	201155
819	39452	201110
820	39496	201043
821	39540	200975
822	39583	200901
823	39626	200827
824	39670	200755
825	39713	200682
826	39759	200624
827	39802	200550
828	39849	200497
829	39898	200452
830	39948	200415
831	39999	200380
832	40043	200313
833	40087	200242
834	40131	200174
835	40175	200110
836	40221	200052
837	40274	200027
838	40330	200017
839	40376	199962
840	40426	199923
841	40472	199862
842	40518	199805
843	40562	199738
844	40609	199685
845	40655	199626
846	40710	199611
847	40761	199575
848	40810	199531
849	40864	199513
850	40912	199465
851	40961	199421
852	41006	199359
853	41051	199299
854	41098	199242
855	41140	199168
856	41186	199106
857	41230	199042
858	41275	198976
859	41318	198907
860	41365	198850
861	41410	198789
862	41455	198727
863	41501	198671
864	41547	198613
865	41594	198558
866	41643	198515
867	41695	198483
868	41747	198457
869	41798	198420
870	41844	198365
871	41890	198306
872	41932	198231
873	41978	198172
874	42023	198110
875	42067	198044
876	42113	197984
877	42160	197935
878	42210	197893
879	42254	197829
880	42299	197764
881	42344	197705
882	42390	197647
883	42436	197587
884	42481	197529
885	42527	197469
886	42572	197405
887	42616	197341
888	42660	197273
889	42703	197205
890	42748	197140
891	42793	197079
892	42837	197014
893	42882	196953
894	42926	196885
895	42970	196818
896	43015	196756
897	43060	196696
898	43101	196619
899	43146	196557
900	43192	196499
901	43237	196438
902	43281	196370
903	43327	196315
904	43376	196273
905	43423	196220
906	43472	196175
907	43517	196115
908	43561	196049
909	43605	195985
910	43648	195917
911	43692	195849
912	43737	195790
913	43785	195742
914	43831	195685
915	43876	195625
916	43924	195574
917	43972	195527
918	44023	195493
919	44086	195513
920	44137	195479
921	44189	195451
922	44235	195393
923	44283	195344
924	44328	195286
925	44374	195229
926	44420	195171
927	44467	195121
928	44516	195075
929	44560	195013
930	44605	194949
931	44647	194879
932	44690	194807
933	44734	194741
934	44782	194694
935	44830	194649
936	44876	194594
937	44921	194530
938	44965	194466
939	45010	194405
940	45054	194344
941	45101	194289
942	45145	194227
943	45194	194183
944	45243	194139
945	45293	194099
946	45337	194037
947	45384	193983
948	45431	193933
949	45478	193881
950	45524	193826
951	45574	193785
952	45623	193742
953	45671	193698
954	45720	193653
955	45770	193615
956	45817	193562
957	45863	193508
958	45910	193456
959	45957	193405
960	46007	193366
961	46055	193320
962	46104	193274
963	46153	193232
964	46197	193168
965	46241	193103
966	46286	193044
967	46331	192984
968	46375	192918
969	46420	192861
970	46469	192817
971	46512	192748
972	46554	192678
973	46601	192624
974	46646	192566
975	46695	192521
976	46741	192469
977	46785	192403
978	46829	192340
979	46873	192277
980	46921	192231
981	46965	192167
982	47009	192104
983	47054	192044
984	47099	191984
985	47147	191938
986	47196	191892
987	47243	191844
988	47288	191784
989	47332	191722
990	47378	191666
991	47427	191623
992	47475	191573
993	47525	191535
994	47574	191492
995	47624	191455
996	47668	191392
997	47713	191333
998	47760	191283
999	47810	191240
1000	47859	191196
1001	47907	191152
1002	47954	191100
1003	48001	191048
1004	48049	191003
1005	48095	190949
1006	48142	190896
1007	48189	190845
1008	48240	190809
1009	48287	190758
1010	48330	190694
1011	48373	190626
1012	48421	190578
1013	48469	190530
1014	48518	190489
1015	48571	190462
1016	48619	190416
1017	48664	190356
1018	48706	190286
1019	48750	190224
1020	48795	190164
1021	48840	190106
1022	48887	190052
1023	48931	189990
1024	48978	189941
1025	49025	189891
1026	49075	189849
1027	49120	189790
1028	49166	189739
1029	49214	189689
1030	49261	189641
1031	49306	189581
1032	49351	189524
1033	49393	189453
1034	49438	189395
1035	49484	189338
1036	49530	189285
1037	49577	189235
1038	49624	189184
1039	49705	189261
1040	49753	189216
1041	49796	189148
1042	49841	189093
1043	49886	189032
1044	49929	188969
1045	49977	188922
1046	50023	188865
1047	50065	188797
1048	50112	188745
1049	50160	188699
1050	50206	188642
1051	50252	188590
1052	50295	188523
1053	50337	188456
1054	50380	188391
1055	50422	188321
1056	50464	188252
1057	50507	188185
1058	50549	188116
1059	50593	188053
1060	50637	187993
1061	50682	187937
1062	50730	187888
1063	50773	187825
1064	50817	187764
1065	50867	187721
1066	50915	187676
1067	50963	187630
1068	51007	187569
1069	51053	187513
1070	51097	187452
1071	51140	187389
1072	51190	187347
1073	51240	187308
1074	51286	187256
1075	51331	187196
1076	51374	187132
1077	51420	187079
1078	51470	187041
1079	51515	186981
1080	51557	186912
1081	51599	186845
1082	51643	186783
1083	51686	186720
1084	51730	186657
1085	51773	186595
1086	51818	186535
1087	51860	186470
1088	51903	186403
1089	51947	186342
1090	51989	186276
1091	52031	186206
1092	52073	186139
1093	52116	186075
1094	52162	186023
1095	52206	185962
1096	52251	185906
1097	52295	185845
1098	52344	185801
1099	52391	185750
1100	52435	185690
1101	52481	185638
1102	52526	185579
1103	52569	185515
1104	52613	185455
1105	52658	185398
1106	52701	185334
1107	52744	185272
1108	52788	185210
1109	52831	185147
1110	52873	185079
1111	52917	185021
1112	52960	184956
1113	53007	184906
1114	53050	184845
1115	53093	184781
1116	53135	184713
1117	53178	184648
1118	53222	184589
1119	53264	184522
1120	53308	184462
1121	53351	184400
1122	53395	184340
1123	53443	184293
1124	53491	184247
1125	53541	184210
1126	53593	184175
1127	53635	184111
1128	53677	184043
1129	53719	183978
1130	53762	183913
1131	53805	183852
1132	53851	183799
1133	53898	183747
1134	53943	183691
1135	53987	183632
1136	54032	183577
1137	54078	183523
1138	54121	183461
1139	54164	183397
1140	54209	183341
1141	54252	183279
1142	54299	183230
1143	54341	183165
1144	54383	183099
1145	54425	183033
1146	54468	182968
1147	54513	182913
1148	54554	182846
1149	54600	182792
1150	54649	182749
1151	54692	182686
1152	54733	182619
1153	54775	182553
1154	54819	182493
1155	54862	182433
1156	54905	182369
1157	54948	182308
1158	54990	182242
1159	55032	182176
1160	55074	182111
1161	55117	182048
1162	55161	181990
1163	55206	181934
1164	55248	181867
1165	55289	181800
1166	55330	181734
1167	55375	181675
1168	55420	181622
1169	55466	181569
1170	55511	181513
1171	55555	181456
1172	55599	181396
1173	55645	181346
1174	55693	181300
1175	55742	181257
1176	55790	181212
1177	55835	181158
1178	55880	181103
1179	55926	181050
1180	55972	180999
1181	56014	180934
1182	56057	180871
1183	56100	180809
1184	56142	180747
1185	56185	180685
1186	56228	180624
1187	56272	180565
1188	56316	180505
1189	56359	180445
1190	56405	180392
1191	56449	180334
1192	56491	180271
1193	56538	180222
1194	56582	180163
1195	56629	180115
1196	56677	180071
1197	56726	180027
1198	56776	179988
1199	56827	179953
1200	56873	179901
1201	56918	179848
1202	56963	179793
1203	57007	179734
1204	57051	179675
1205	57094	179616
1206	57144	179576
1207	57190	179524
1208	57236	179474
1209	57284	179428
1210	57328	179371
1211	57374	179318
1212	57416	179255
1213	57462	179201
1214	57509	179153
1215	57555	179103
1216	57597	179040
1217	57639	178976
1218	57683	178917
1219	57726	178856
1220	57769	178797
1221	57813	178739
1222	57857	178681
1223	57901	178623
1224	57948	178574
1225	57992	178519
1226	58040	178472
1227	58083	178413
1228	58126	178351
1229	58169	178291
1230	58212	178231
1231	58255	178171
1232	58298	178109
1233	58342	178052
1234	58384	177990
1235	58427	177930
1236	58473	177877
1237	58517	177822
1238	58559	177757
1239	58602	177698
1240	58649	177648
1241	58697	177604
1242	58741	177548
1243	58786	177494
1244	58832	177441
1245	58877	177388
1246	58923	177337
1247	58967	177279
1248	59012	177226
1249	59058	177174
1250	59107	177132
1251	59153	177084
1252	59199	177030
1253	59249	176993
1254	59295	176942
1255	59337	176878
1256	59383	176827
1257	59427	176769
1258	59470	176711
1259	59512	176647
1260	59556	176592
1261	59600	176535
1262	59645	176480
1263	59691	176429
1264	59733	176367
1265	59778	176313
1266	59821	176252
1267	59863	176191
1268	59907	176135
1269	59951	176076
1270	59994	176017
1271	60039	175964
1272	60081	175903
1273	60124	175842
1274	60167	175783
1275	60215	175739
1276	60265	175700
1277	60312	175651
1278	60357	175597
1279	60401	175543
1280	60449	175496
1281	60495	175446
1282	60540	175391
1283	60586	175342
1284	60630	175285
1285	60676	175234
1286	60719	175176
1287	60763	175119
1288	60805	175056
1289	60846	174991
1290	60888	174929
1291	60932	174873
1292	61003	174895
1293	61050	174849
1294	61094	174792
1295	61138	174736
1296	61181	174675
1297	61223	174614
1298	61266	174555
1299	61312	174504
1300	61358	174454
1301	61404	174403
1302	61446	174342
1303	61489	174282
1304	61533	174227
1305	61576	174169
1306	61620	174112
1307	61664	174054
1308	61707	173997
1309	61750	173938
1310	61797	173891
1311	61842	173839
1312	61892	173798
1313	61939	173751
1314	61987	173705
1315	62037	173666
1316	62086	173625
1317	62137	173587
1318	62188	173552
1319	62233	173498
1320	62277	173443
1321	62320	173383
1322	62363	173326
1323	62405	173265
1324	62448	173206
1325	62496	173162
1326	62542	173111
1327	62585	173052
1328	62627	172991
1329	62670	172932
1330	62711	172868
1331	62754	172809
1332	62797	172751
1333	62839	172691
1334	62882	172631
1335	62928	172583
1336	62972	172527
1337	63016	172472
1338	63061	172418
1339	63105	172363
1340	63148	172305
1341	63191	172245
1342	63233	172185
1343	63277	172129
1344	63319	172070
1345	63365	172019
1346	63412	171970
1347	63456	171915
1348	63503	171869
1349	63551	171823
1350	63600	171783
1351	63647	171734
1352	63692	171683
1353	63736	171626
1354	63780	171571
1355	63824	171516
1356	63869	171463
1357	63912	171406
1358	63954	171346
1359	63998	171289
1360	64043	171238
1361	64088	171184
1362	64133	171132
1363	64175	171072
1364	64217	171011
1365	64260	170953
1366	64301	170890
1367	64344	170831
1368	64386	170772
1369	64430	170716
1370	64473	170659
1371	64516	170602
1372	64559	170543
1373	64602	170486
1374	64645	170429
1375	64694	170387
1376	64740	170338
1377	64785	170285
1378	64830	170233
1379	64873	170175
1380	64915	170115
1381	64961	170065
1382	65009	170020
1383	65056	169975
1384	65102	169924
1385	65147	169871
1386	65191	169817
1387	65236	169766
1388	65281	169713
1389	65326	169660
1390	65371	169608
1391	65415	169554
1392	65464	169513
1393	65511	169466
1394	65557	169416
1395	65600	169358
1396	65643	169299
1397	65689	169250
1398	65733	169198
1399	65780	169149
1400	65828	169106
1401	65878	169067
1402	65925	169018
1403	65971	168969
1404	66013	168910
1405	66055	168850
1406	66100	168797
1407	66144	168743
1408	66189	168692
1409	66236	168643
1410	66284	168599
1411	66327	168542
1412	66371	168488
1413	66414	168431
1414	66459	168379
1415	66508	168337
1416	66551	168281
1417	66597	168232
1418	66644	168185
1419	66691	168137
1420	66741	168099
1421	66808	168101
1422	66854	168051
1423	66898	167998
1424	66945	167950
1425	66992	167902
1426	67037	167852
1427	67082	167800
1428	67127	167748
1429	67171	167694
1430	67216	167642
1431	67260	167588
1432	67307	167541
1433	67351	167487
1434	67396	167433
1435	67442	167385
1436	67488	167335
1437	67533	167285
1438	67578	167232
1439	67623	167179
1440	67667	167125
1441	67714	167079
1442	67761	167031
1443	67806	166980
1444	67852	166930
1445	67898	166881
1446	67941	166824
1447	67984	166769
1448	68032	166724
1449	68080	166679
1450	68124	166625
1451	68170	166576
1452	68214	166522
1453	68260	166473
1454	68309	166430
1455	68354	166379
1456	68400	166329
1457	68445	166279
1458	68490	166227
1459	68535	166175
1460	68581	166124
1461	68625	166072
1462	68670	166019
1463	68715	165969
1464	68760	165917
1465	68806	165868
1466	68850	165812
1467	68893	165756
1468	68936	165701
1469	68980	165647
1470	69023	165590
1471	69067	165536
1472	69112	165484
1473	69157	165434
1474	69207	165394
1475	69255	165350
1476	69300	165298
1477	69346	165249
1478	69393	165201
1479	69439	165152
1480	69483	165099
1481	69529	165050
1482	69574	164999
1483	69618	164944
1484	69663	164892
1485	69706	164837
1486	69749	164781
1487	69793	164728
1488	69838	164675
1489	69885	164629
1490	69934	164588
1491	69982	164542
1492	70029	164497
1493	70077	164453
1494	70124	164406
1495	70170	164357
1496	70218	164311
1497	70265	164265
1498	70313	164222
1499	70361	164176
1500	70408	164130
1501	70451	164073
1502	70496	164023
1503	70538	163964
1504	70581	163907
1505	70626	163856
1506	70674	163812
1507	70721	163765
1508	70765	163713
1509	70810	163661
1510	70853	163605
1511	70897	163552
1512	70942	163501
1513	70989	163453
1514	71034	163403
1515	71079	163351
1516	71125	163303
1517	71171	163254
1518	71215	163199
1519	71259	163145
1520	71303	163093
1521	71347	163040
1522	71391	162987
1523	71438	162938
1524	71485	162892
1525	71574	162941
1526	71621	162895
1527	71668	162848
1528	71715	162802
1529	71760	162751
1530	71805	162700
1531	71849	162647
1532	71895	162596
1533	71940	162546
1534	71991	162507
1535	72041	162468
1536	72161	162585
1537	72220	162567
1538	72270	162526
1539	72317	162478
1540	72365	162434
1541	72407	162377
1542	72451	162323
1543	72499	162278
1544	72544	162227
1545	72593	162184
1546	72640	162137
1547	72684	162085
1548	72729	162034
1549	72779	161992
1550	72826	161945
1551	72872	161896
1552	72916	161843
1553	72965	161801
1554	73017	161765
1555	73067	161725
1556	73116	161681
1557	73162	161633
1558	73205	161578
1559	73249	161525
1560	73295	161475
1561	73341	161426
1562	73385	161372
1563	73432	161326
1564	73481	161283
1565	73533	161248
1566	73581	161202
1567	73626	161152
1568	73671	161100
1569	73717	161050
1570	73763	161002
1571	73809	160952
1572	73854	160901
1573	73897	160846
1574	73939	160790
1575	73982	160734
1576	74028	160683
1577	74074	160634
1578	74119	160583
1579	74164	160532
1580	74210	160484
1581	74255	160434
1582	74300	160381
1583	74343	160327
1584	74388	160275
1585	74434	160227
1586	74476	160168
1587	74519	160113
1588	74563	160060
1589	74612	160017
1590	74658	159969
1591	74704	159920
1592	74749	159868
1593	74795	159820
1594	74843	159775
1595	74892	159733
1596	74942	159693
1597	74987	159642
1598	75033	159592
1599	75077	159538
1600	75124	159492
1601	75170	159443
1602	75214	159391
1603	75261	159345
1604	75309	159298
1605	75354	159247
1606	75400	159200
1607	75452	159162
1608	75499	159115
1609	75544	159065
1610	75588	159012
1611	75632	158960
1612	75677	158909
1613	75721	158854
